Object_Label,Origin,Section,tissue_area_px
GtDeer_treatment_cerebellum_4x_21.tif,Deer,cerebellum,33758425
GtDeer_treatment_cerebellum_4x_22.tif,Deer,cerebellum,22616850
GtDeer_treatment_cerebellum_4x_23.tif,Deer,cerebellum,26089100
GtDeer_treatment_cerebellum_4x_24.tif,Deer,cerebellum,32937225
GtDeer_treatment_cerebellum_4x_25.tif,Deer,cerebellum,21084175
GtDeer_treatment_cerebellum_4x_26.tif,Deer,cerebellum,36434300
GtDeer_treatment_cerebellum_4x_27.tif,Deer,cerebellum,53121075
GtDeer_treatment_cerebellum_4x_28.tif,Deer,cerebellum,53291050
GtDeer_treatment_cerebellum_4x_29.tif,Deer,cerebellum,21643925
GtDeer_treatment_cerebellum_4x_30.tif,Deer,cerebellum,22852500
GtDeer_treatment_cerebellum_4x_31.tif,Deer,cerebellum,23017400
GtDeer_treatment_cerebellum_4x_32.tif,Deer,cerebellum,42998850
GtDeer_treatment_cerebellum_4x_33.tif,Deer,cerebellum,30362850
GtDeer_treatment_cerebellum_4x_34.tif,Deer,cerebellum,43629600
GtDeer_treatment_cerebellum_4x_35.tif,Deer,cerebellum,16172450
GtDeer_treatment_cerebellum_4x_36.tif,Deer,cerebellum,43605925
GtDeer_treatment_cerebellum_4x_37.tif,Deer,cerebellum,30749550
GtDeer_treatment_cerebellum_4x_38.tif,Deer,cerebellum,32373050
GtDeer_treatment_cerebellum_4x_39.tif,Deer,cerebellum,19577500
GtDeer_treatment_cerebellum_4x_40.tif,Deer,cerebellum,27672075
GtDeer_treatment_cerebellum_4x_41.tif,Deer,cerebellum,21494850
GtDeer_treatment_cerebellum_4x_42.tif,Deer,cerebellum,298546450
GtDeer_treatment_cerebellum_4x_43.tif,Deer,cerebellum,43285350
GtDeer_treatment_cerebellum_4x_44.tif,Deer,cerebellum,29914425
GtDeer_treatment_cerebellum_4x_45.tif,Deer,cerebellum,36751600
GtDeer_treatment_cerebellum_4x_46.tif,Deer,cerebellum,68054850
GtDeer_treatment_cerebellum_4x_47.tif,Deer,cerebellum,36511200
GtDeer_treatment_cerebellum_4x_48.tif,Deer,cerebellum,94494400
GtDeer_treatment_cerebellum_4x_49.tif,Deer,cerebellum,130240700
GtDeer_treatment_cerebellum_4x_50.tif,Deer,cerebellum,37342750
GtDeer_treatment_cerebellum_4x_51.tif,Deer,cerebellum,59708275
GtDeer_treatment_cerebellum_4x_52.tif,Deer,cerebellum,57241125
GtDeer_treatment_cerebellum_4x_53.tif,Deer,cerebellum,58076050
GtDeer_treatment_cerebellum_4x_54.tif,Deer,cerebellum,30452150
GtDeer_treatment_cerebellum_4x_55.tif,Deer,cerebellum,33549750
GtDeer_treatment_cerebellum_4x_56.tif,Deer,cerebellum,9873400
GtDeer_treatment_cerebellum_4x_57.tif,Deer,cerebellum,11884500
GtDeer_treatment_cerebellum_4x_58.tif,Deer,cerebellum,30461975
GtDeer_treatment_cerebellum_4x_59.tif,Deer,cerebellum,29967875
GtDeer_treatment_cerebellum_4x_60.tif,Deer,cerebellum,71097400
GtDeer_treatment_cerebellum_4x_61.tif,Deer,cerebellum,40798350
GtDeer_treatment_cerebellum_4x_62.tif,Deer,cerebellum,29605275
GtDeer_treatment_cerebellum_4x_63.tif,Deer,cerebellum,41466350
GtDeer_treatment_cerebellum_4x_64.tif,Deer,cerebellum,27141250
GtDeer_treatment_cerebellum_4x_65.tif,Deer,cerebellum,23780300
GtDeer_treatment_cerebellum_4x_66.tif,Deer,cerebellum,58335225
GtDeer_treatment_cerebellum_4x_67.tif,Deer,cerebellum,32526175
GtDeer_treatment_cerebellum_4x_68.tif,Deer,cerebellum,49084000
GtDeer_treatment_cerebellum_4x_69.tif,Deer,cerebellum,26898775
GtDeer_treatment_cerebellum_4x_70.tif,Deer,cerebellum,15783000
GtDeer_treatment_cerebellum_4x_71.tif,Deer,cerebellum,58670000
GtDeer_treatment_cerebellum_4x_72.tif,Deer,cerebellum,55671675
GtDeer_treatment_cerebellum_4x_73.tif,Deer,cerebellum,40450725
GtDeer_treatment_cerebellum_4x_74.tif,Deer,cerebellum,33115950
GtDeer_treatment_cerebellum_4x_75.tif,Deer,cerebellum,41721900
GtDeer_treatment_cerebellum_4x_76.tif,Deer,cerebellum,60673875
GtDeer_treatment_cerebellum_4x_77.tif,Deer,cerebellum,53682075
GtDeer_treatment_cerebellum_4x_78.tif,Deer,cerebellum,38458800
